id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
30800001,2019-01-17,2016-02-03,74,f,f,District 19,36.17807450806928,-86.79401704755352,Entire home/apt,Apartment,4,1.0,1,Real Bed,15.0,500.0,98.0,100.0,1,8.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,t,True,1079
30811170,2019-01-17,2018-12-13,1,f,f,District 10,36.321611522421925,-86.72197660921324,Shared room,House,2,1.0,1,Real Bed,95.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,35
30814698,2019-01-17,2012-07-10,1,f,t,District 8,36.25206742760857,-86.72329624656645,Entire home/apt,House,10,3.5,4,Real Bed,2000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,2382
30815522,2019-01-17,2016-05-29,3,t,f,District 26,36.07774856734397,-86.73414488370409,Entire home/apt,Guest suite,2,1.0,1,Real Bed,51.0,0.0,30.0,90.0,2,10.0,10.0,10.0,10.0,9.0,t,f,flexible,f,f,t,True,963
30816074,2019-01-17,2018-12-13,1,f,f,District 5,36.19577985753809,-86.77348008395752,Entire home/apt,Townhouse,10,3.0,3,Real Bed,129.0,0.0,200.0,100.0,2,10.0,9.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,f,f,t,True,35
30816145,2019-01-17,2015-03-27,532,t,f,District 15,36.220826894285906,-86.7038496685969,Entire home/apt,Condominium,4,1.0,1,Real Bed,1000.0,250.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,strict_14_with_grace_period,f,f,t,False,1392
30816197,2019-01-17,2018-12-13,2,f,f,District 21,36.1794133945342,-86.80703966228441,Entire home/apt,House,5,1.0,2,Real Bed,129.0,100.0,99.0,100.0,2,10.0,8.0,10.0,8.0,10.0,t,f,strict_14_with_grace_period,f,f,t,True,35
30816735,2019-01-17,2015-03-27,532,t,f,District 15,36.221290794102046,-86.7054021982022,Entire home/apt,Condominium,6,2.0,2,Real Bed,1000.0,250.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,strict_14_with_grace_period,f,f,t,False,1392
30816867,2019-01-17,2015-03-27,532,t,f,District 15,36.22139429851956,-86.70585826413188,Entire home/apt,Condominium,8,2.0,2,Real Bed,1000.0,250.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,strict_14_with_grace_period,f,f,t,False,1392
30818299,2019-01-17,2015-02-22,14,t,f,District 19,36.17378527421696,-86.78196342369142,Entire home/apt,Condominium,6,1.0,1,Real Bed,300.0,250.0,99.0,100.0,2,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,f,f,t,True,1425
